company_name,work_hours,job_titles,skills
"Turner, Perez and Stevenson",21:31 - 23:06,"['Chief Operating Officer', 'Clinical molecular geneticist', 'Catering manager', 'Engineer, site']","[['bad', 'piece', 'official', 'guy', 'door'], ['between', 'land'], ['hotel'], ['when', 'should', 'hear']]"
"Carpenter, Klein and Watkins",13:26 - 11:02,"['Restaurant manager', 'Engineer, materials']","[['different', 'manage', 'prove'], ['quite', 'road', 'money']]"
"Adams, Lee and Smith",04:18 - 17:08,['Health service manager'],"[['girl', 'marriage', 'improve', 'open', 'force']]"
Jones-Morse,09:13 - 08:04,"['Marine scientist', 'Leisure centre manager', 'Hospital pharmacist', 'Chief of Staff']","[['writer', 'much'], ['campaign', 'word', 'because', 'first'], ['meeting', 'challenge', 'wife', 'whatever'], ['they', 'join', 'feel', 'most', 'majority']]"
Lee Group,02:22 - 21:30,"['Programmer, applications', 'Bookseller', 'Production assistant, television', 'Advertising art director', 'Scientist, marine']","[['state'], ['hair', 'grow', 'add', 'decision', 'side'], ['ago', 'bring', 'similar'], ['religious'], ['imagine', 'management', 'know', 'because']]"
"Good, Hunter and Taylor",12:49 - 16:54,"['Public librarian', 'Horticultural therapist', 'Solicitor, Scotland', 'Television production assistant', 'Medical illustrator', 'Event organiser', 'Charity officer', 'Education officer, environmental']","[['know', 'bed', 'quickly', 'decide'], ['both'], ['improve', 'such', 'discussion'], ['shoulder', 'word', 'wrong'], ['air', 'prevent', 'memory'], ['give', 'ground', 'discussion', 'race', 'want'], ['activity', 'into'], ['central', 'people', 'improve', 'open']]"
Wheeler Inc,09:29 - 21:39,"['Personnel officer', 'Teacher, primary school', 'Astronomer', 'Designer, multimedia', 'Manufacturing engineer', 'Scientist, research (maths)', 'Engineer, materials', 'Accountant, chartered public finance', 'Interpreter', 'Administrator, local government']","[['represent', 'laugh', 'course', 'care'], ['detail', 'remember', 'listen', 'decide', 'enter'], ['produce', 'last'], ['blood', 'want', 'year'], ['bad', 'military', 'which'], ['choice', 'make', 'defense', 'police', 'director'], ['almost'], ['sea'], ['rich', 'TV'], ['choice', 'society']]"
"Martinez, Murphy and Bradley",11:35 - 18:24,"['Financial planner', 'Camera operator', 'Food technologist', 'Warehouse manager', 'Industrial/product designer', 'Conservation officer, historic buildings']","[['budget', 'station'], ['environment', 'hundred', 'Mr'], ['reflect', 'should', 'suffer', 'himself', 'the'], ['face', 'leave', 'very', 'woman'], ['tree', 'true', 'money', 'specific'], ['because', 'agent', 'spring']]"
Ramos-Pitts,01:48 - 12:43,"['Clinical research associate', 'Education officer, community', 'Advertising account planner']","[['week', 'resource', 'political'], ['rock', 'week'], ['network', 'system', 'impact']]"
"Simmons, Werner and Estes",20:53 - 07:49,"['Tax inspector', 'Theatre director', 'Armed forces training and education officer']","[['establish', 'word', 'never'], ['assume', 'call', 'goal', 'somebody', 'responsibility'], ['institution', 'him', 'include', 'ask', 'executive']]"
Roman-Clark,02:10 - 19:35,['Geoscientist'],"[['certain', 'firm']]"
"Payne, Taylor and Hall",09:08 - 06:15,"['Professor Emeritus', 'Charity fundraiser', 'Research officer, government', 'Sales professional, IT', 'Mechanical engineer', 'Administrator, arts', 'Camera operator', 'Special educational needs teacher']","[['control', 'would', 'make'], ['only'], ['pretty', 'type', 'economic', 'apply'], ['lose', 'cost'], ['early', 'look', 'friend'], ['as'], ['several', 'important', 'process'], ['brother', 'analysis', 'institution', 'truth']]"
"Le, Brown and Flores",04:59 - 15:10,"['Administrator, charities/voluntary organisations', 'Applications developer', 'Fast food restaurant manager', 'Private music teacher']","[['life', 'culture', 'somebody'], ['leave', 'him', 'fill'], ['role', 'deep', 'minute', 'cut'], ['in', 'including', 'weight']]"
"Cabrera, Garcia and Simpson",20:27 - 16:30,"['Logistics and distribution manager', 'Designer, textile', 'Armed forces technical officer', 'Health and safety inspector', 'Technical sales engineer', 'Outdoor activities/education manager', 'Administrator, Civil Service', 'Minerals surveyor']","[['record', 'current'], ['fish', 'such', 'usually', 'phone'], ['reveal', 'article'], ['how', 'medical'], ['sit', 'smile'], ['require', 'into'], ['know', 'north', 'road', 'anything'], ['stock', 'finish', 'few', 'federal', 'customer']]"
"Dennis, Tran and King",10:02 - 17:29,"['Psychologist, sport and exercise', 'Chief of Staff', 'Financial adviser', 'Exercise physiologist', 'Office manager', 'Automotive engineer']","[['soldier', 'mother', 'best', 'music', 'quite'], ['authority', 'together', 'chair', 'within', 'fire'], ['surface', 'character', 'claim'], ['fly', 'situation', 'like', 'policy', 'usually'], ['finally', 'church'], ['ball', 'natural', 'institution', 'expect']]"
Harris Ltd,09:24 - 04:04,"['Designer, industrial/product', 'Early years teacher', 'Presenter, broadcasting']","[['company'], ['half'], ['east', 'as', 'alone', 'child']]"
Lawson-Gray,16:14 - 02:39,"['Theme park manager', 'Architectural technologist', 'Engineer, structural', 'Psychologist, counselling', 'Magazine features editor', 'Immunologist', 'Writer', 'Educational psychologist', 'Dealer']","[['leader', 'ask', 'name', 'investment', 'blood'], ['anything', 'price', 'cold'], ['color'], ['seem', 'provide'], ['month'], ['benefit'], ['office', 'so', 'its', 'oil', 'single'], ['series', 'nature'], ['yes', 'just', 'bit', 'cause']]"
Allen-Prince,23:32 - 04:03,"['Engineer, agricultural', 'Public relations account executive', 'Community pharmacist', 'Associate Professor', 'Museum/gallery exhibitions officer', 'Engineering geologist', 'Architectural technologist', 'Data processing manager', 'Contractor', 'Legal executive']","[['carry', 'marriage', 'public'], ['town'], ['within', 'set'], ['myself'], ['fact', 'party', 'add', 'see', 'continue'], ['environment', 'water', 'bag', 'book'], ['just', 'common', 'my'], ['lead', 'place', 'your', 'college'], ['tree', 'sort'], ['pay']]"
Griffin PLC,10:25 - 13:50,"['Surveyor, minerals', 'Financial adviser', 'Insurance claims handler', 'Editorial assistant', 'Orthoptist', 'Clinical research associate']","[['continue', 'everyone', 'against'], ['serious'], ['without', 'magazine', 'close'], ['item', 'sound', 'player'], ['fine', 'age', 'break', 'pick'], ['service', 'do']]"
Burton-Hogan,08:31 - 19:05,"['Race relations officer', 'Quality manager', 'Data scientist', 'Theatre director', 'Engineering geologist', 'Ecologist', 'Heritage manager', 'Engineer, production', 'Geophysicist/field seismologist']","[['hotel'], ['administration', 'do', 'me', 'rock', 'yet'], ['it', 'purpose', 'leader', 'factor'], ['real', 'over'], ['visit', 'treat'], ['media', 'trip', 'indicate', 'try'], ['decade'], ['piece', 'not', 'off'], ['never', 'remain', 'fire']]"
Williams and Sons,22:29 - 17:16,"['Cabin crew', 'Sports administrator', 'Psychiatric nurse', 'Engineer, control and instrumentation', 'English as a second language teacher']","[['page', 'last', 'future', 'serve', 'other'], ['table', 'recognize', 'particularly'], ['mission'], ['find', 'change', 'future', 'story'], ['into', 'court', 'believe', 'deal']]"
Bennett-Mayo,19:50 - 23:22,"['Mechanical engineer', 'Economist', 'IT consultant', 'Legal secretary']","[['account', 'why', 'south', 'provide', 'fact'], ['property', 'entire'], ['product', 'should', 'over', 'would'], ['task', 'child', 'left']]"
Myers Group,17:42 - 02:48,"['Photographer', 'Publishing copy', 'Radiation protection practitioner', 'Aid worker', 'Administrator, arts']","[['south', 'take'], ['society', 'hand', 'such', 'tough'], ['result'], ['wife', 'growth'], ['then']]"
Lee Group,13:41 - 18:56,"['Exhibitions officer, museum/gallery', 'Broadcast presenter', 'Geochemist', 'Arts administrator']","[['thousand', 'garden', 'risk'], ['health', 'whose', 'become'], ['quality', 'above', 'note', 'cup'], ['politics']]"
Gibson-Ali,18:08 - 10:01,"['Psychologist, forensic', 'Wellsite geologist', 'IT technical support officer', 'Research officer, trade union', 'Doctor, hospital', 'Commercial/residential surveyor', 'Seismic interpreter', 'Data processing manager', 'Tourist information centre manager', 'Geoscientist']","[['hospital', 'word', 'book', 'simply', 'end'], ['several', 'resource'], ['born', 'election', 'together'], ['effect', 'town', 'evidence'], ['else', 'some', 'station'], ['professional', 'strategy'], ['news', 'visit'], ['within', 'sense', 'establish', 'nation'], ['level'], ['enough']]"
"Green, Wallace and Jackson",22:38 - 16:10,['Community pharmacist'],"[['help', 'system', 'accept']]"
Love-Hill,06:30 - 21:57,"['Copy', 'Scientist, physiological']","[['often', 'teach', 'environmental'], ['news']]"
King-Sanchez,02:05 - 11:14,"['Magazine features editor', 'Intelligence analyst', 'Corporate investment banker', 'Psychiatrist', 'Development worker, community', 'Land/geomatics surveyor', 'Phytotherapist', 'Armed forces logistics/support/administrative officer', 'Health promotion specialist', 'Air cabin crew']","[['hospital'], ['shoulder'], ['store'], ['detail'], ['history'], ['anyone'], ['couple', 'manage', 'ahead', 'education', 'example'], ['bar'], ['support', 'student', 'represent', 'child'], ['air', 'discussion', 'full', 'dream']]"
"Schwartz, Carter and Grant",23:38 - 03:58,"['Building surveyor', 'Energy engineer', 'Mudlogger', 'Logistics and distribution manager', 'Engineer, manufacturing', 'Television camera operator', 'Engineer, maintenance', 'Marketing executive']","[['under', 'eye', 'allow', 'sister'], ['speak', 'leg', 'hot', 'than'], ['according', 'design'], ['style'], ['painting', 'easy', 'he'], ['against'], ['reach', 'your', 'from', 'today'], ['the']]"
Gates LLC,06:32 - 08:02,"['Chief of Staff', 'Technical author', 'Chartered loss adjuster', 'Volunteer coordinator', 'Television production assistant', 'Cartographer']","[['natural', 'growth'], ['executive', 'concern', 'experience', 'interesting'], ['hundred', 'now'], ['suggest', 'notice'], ['skill', 'so', 'little'], ['all']]"
Hines-Ali,18:42 - 19:26,"[""Barrister's clerk"", 'Physiotherapist', 'TEFL teacher', 'Field trials officer', 'Tourism officer', 'Manufacturing systems engineer', 'Automotive engineer']","[['imagine', 'market', 'over', 'customer'], ['money', 'green'], ['sport', 'and', 'prove', 'her', 'above'], ['government', 'Republican', 'hundred', 'could', 'together'], ['health'], ['evening', 'enter', 'real', 'food'], ['effect', 'include', 'edge', 'strong', 'apply']]"
George PLC,03:57 - 01:26,['Commercial art gallery manager'],"[['question', 'son', 'provide', 'another']]"
"Bell, Heath and Aguilar",15:32 - 23:43,"['Multimedia specialist', 'Chief Marketing Officer', 'Lobbyist', 'Commercial horticulturist', 'IT technical support officer', 'Fashion designer', 'Conservator, museum/gallery']","[['answer', 'high'], ['hold', 'image', 'newspaper'], ['line', 'strong'], ['within', 'behavior', 'go'], ['wonder', 'gun', 'while', 'clearly', 'example'], ['specific'], ['some', 'red']]"
Brown-Anderson,09:49 - 04:11,"['General practice doctor', 'Conservation officer, historic buildings']","[['site', 'a', 'decide', 'its', 'real'], ['right']]"
Buck-Williams,12:55 - 22:29,"['Financial controller', 'Exhibitions officer, museum/gallery', 'Medical laboratory scientific officer', 'Broadcast engineer']","[['though', 'and', 'side', 'property'], ['choose', 'information', 'say', 'eye'], ['training'], ['kid', 'happy']]"
Moore-Soto,11:09 - 04:27,"['Multimedia programmer', 'Advertising account planner', 'Chartered legal executive (England and Wales)', 'Forensic psychologist', 'Therapist, art', 'Programmer, applications', 'Ergonomist', 'Public house manager', 'Senior tax professional/tax inspector', 'Scientist, clinical (histocompatibility and immunogenetics)']","[['state', 'later'], ['wall', 'concern', 'individual'], ['practice', 'need', 'election'], ['road', 'decade', 'share'], ['capital', 'rather', 'skin'], ['marriage', 'behavior', 'involve', 'know', 'suffer'], ['partner', 'bank', 'camera'], ['drug', 'whose', 'develop', 'professional'], ['few'], ['school', 'operation']]"
Yates-Nicholson,17:13 - 05:41,"['Designer, industrial/product', 'Armed forces technical officer', 'Engineer, automotive', 'Medical physicist', 'Special educational needs teacher', 'Customer service manager', 'Clinical scientist, histocompatibility and immunogenetics', 'Manufacturing engineer', 'Marketing executive']","[['once', 'me', 'adult'], ['left', 'source', 'draw', 'several'], ['produce', 'political', 'knowledge', 'image'], ['watch'], ['law', 'nothing'], ['fact', 'same', 'modern', 'cup'], ['national'], ['which', 'force', 'face'], ['once', 'human']]"
Reeves and Sons,16:11 - 22:39,"['Public house manager', 'Naval architect', 'Police officer', 'Runner, broadcasting/film/video', 'Television production assistant']","[['explain', 'future', 'unit', 'page', 'social'], ['yet', 'general', 'image', 'officer'], ['travel'], ['at', 'size', 'almost', 'character', 'major'], ['similar', 'room', 'future', 'man', 'happen']]"
Green-Stevens,22:43 - 20:42,"['Teacher, adult education', 'Operational researcher', 'Logistics and distribution manager', 'Arboriculturist', 'Advertising copywriter', 'Adult nurse', 'Horticultural therapist', 'Advertising account executive']","[['authority', 'black', 'probably', 'media'], ['today', 'society', 'military', 'himself'], ['goal', 'fly', 'a'], ['never', 'back', 'affect'], ['support'], ['central', 'bag', 'but', 'seem'], ['hand', 'buy'], ['argue']]"
"Sanders, Hines and Wolfe",16:54 - 01:49,"['Newspaper journalist', 'Psychologist, sport and exercise', 'Sports coach', 'Ecologist', 'Scientist, clinical (histocompatibility and immunogenetics)', 'Video editor', 'Dentist', 'Chiropodist', 'Games developer', 'Network engineer']","[['pick', 'fact', 'address'], ['total', 'as', 'season', 'family', 'yes'], ['table', 'stand', 'sense'], ['share', 'top', 'share'], ['type'], ['environment', 'fear', 'would'], ['situation', 'if', 'service', 'sense'], ['break', 'who', 'hundred'], ['next', 'another'], ['special']]"
"Chavez, Marks and Wyatt",09:15 - 02:09,"['Scientist, forensic']","[['why', 'site']]"
Thompson Inc,23:56 - 12:26,"['Solicitor', 'Designer, television/film set', 'Forensic scientist', 'Insurance underwriter']","[['theory', 'method', 'as', 'more', 'better'], ['there', 'interesting', 'mother', 'son', 'network'], ['find'], ['reach', 'law', 'member', 'hand']]"
"Oneill, King and Silva",23:17 - 08:10,"['Race relations officer', 'Local government officer', 'Glass blower/designer', 'Estate agent']","[['difficult'], ['day'], ['race', 'well', 'against', 'there'], ['need']]"
"Bell, Gilbert and Scott",09:02 - 07:44,"['Civil Service administrator', 'Engineering geologist', 'Adult guidance worker', 'Statistician', 'Scientist, research (medical)', 'Music therapist', 'Fitness centre manager', 'Medical secretary', 'Administrator, education']","[['point', 'pass', 'cold', 'box', 'space'], ['fill', 'meeting'], ['agency'], ['reason', 'institution', 'car'], ['happen', 'growth', 'assume'], ['three', 'effect', 'security', 'take'], ['town', 'network', 'much'], ['partner', 'contain', 'today', 'role', 'cup'], ['bed', 'common', 'in', 'hand', 'approach']]"
"Collins, Mcintyre and Brewer",00:03 - 10:36,"['Horticultural consultant', 'Horticulturist, amenity', 'Herbalist', 'Applications developer', 'Human resources officer', 'Surveyor, commercial/residential', 'Marine scientist']","[['than', 'main'], ['catch', 'avoid', 'simply', 'among'], ['floor', 'only'], ['determine', 'show'], ['power'], ['plan', 'people', 'seven', 'some'], ['interest', 'fight']]"
"Wilson, Davies and Graham",01:49 - 04:30,['Chartered public finance accountant'],"[['avoid', 'natural']]"
Manning-Jackson,05:32 - 04:49,"['Market researcher', 'Film/video editor', 'Operational researcher', 'Curator', 'Occupational psychologist', 'Designer, exhibition/display', 'Electronics engineer', 'Public relations account executive', 'Engineer, energy']","[['health', 'course'], ['position', 'father', 'price', 'fight', 'pull'], ['find', 'represent'], ['you'], ['long', 'lose'], ['eat'], ['rate', 'up', 'south', 'thus'], ['culture', 'shake', 'woman', 'big'], ['scientist']]"
"Butler, Jones and Brewer",23:08 - 22:37,"['Energy engineer', 'Accountant, chartered public finance', 'Biochemist, clinical', 'Dispensing optician', 'Programmer, applications', 'Theatre manager', 'Pharmacologist', 'Journalist, newspaper', 'Investment banker, corporate']","[['western', 'order', 'machine'], ['yet', 'child', 'able'], ['election'], ['deal', 'cup'], ['daughter', 'agreement', 'prepare'], ['fight', 'statement', 'measure', 'hard'], ['around', 'visit', 'positive', 'artist'], ['girl', 'involve', 'data'], ['main', 'sister', 'free', 'for']]"
Wong Group,06:24 - 08:14,"['Fisheries officer', 'Doctor, hospital', 'Hydrographic surveyor', 'Chemical engineer', 'Chief Executive Officer', 'Environmental education officer', 'Engineer, communications', 'Chief Executive Officer']","[['you', 'avoid', 'although', 'majority', 'movement'], ['meet', 'sign', 'senior'], ['hear', 'job', 'brother', 'lead', 'organization'], ['person'], ['identify', 'serious', 'Democrat', 'suddenly', 'against'], ['hard', 'theory'], ['believe'], ['leave', 'tell', 'red']]"
Johnson Group,14:32 - 08:33,"['Water quality scientist', 'Passenger transport manager', 'Radio producer', 'Magazine features editor', 'Higher education careers adviser']","[['civil', 'just'], ['election'], ['price', 'put', 'light', 'something', 'west'], ['bar', 'but', 'long', 'growth'], ['send', 'company', 'deep']]"
Mendoza-Romero,00:23 - 05:34,"['Warden/ranger', 'Clinical scientist, histocompatibility and immunogenetics', 'Financial trader', 'Theatre director']","[['door', 'among', 'leader', 'time'], ['middle', 'experience', 'common', 'paper'], ['decade', 'degree', 'suddenly', 'worry', 'step'], ['where', 'sea']]"
"Finley, Ramos and Padilla",21:38 - 05:10,"['Ceramics designer', 'Health physicist']","[['act', 'upon', 'arm', 'what'], ['since', 'reflect']]"
"Anderson, Perry and Haynes",17:05 - 15:16,"['Lobbyist', 'Theatre manager', 'Ambulance person', 'Psychologist, educational', 'Production manager', 'Designer, industrial/product', 'Adult nurse']","[['despite', 'page'], ['discussion', 'public'], ['glass', 'century'], ['upon', 'away', 'treat', 'young'], ['police', 'example', 'though', 'environment'], ['statement', 'result', 'suggest', 'customer', 'lose'], ['win', 'who', 'nothing', 'often', 'window']]"
Fitzgerald-Chen,22:41 - 20:50,"['Medical sales representative', 'Insurance claims handler', 'Interior and spatial designer', 'Programme researcher, broadcasting/film/video', 'Medical laboratory scientific officer', 'Colour technologist']","[['on', 'growth', 'increase'], ['detail', 'box', 'music'], ['for', 'fact', 'here', 'skill', 'win'], ['training', 'hold', 'hope', 'more'], ['public'], ['hard']]"
Oconnor-Harrison,12:30 - 16:21,"['Insurance claims handler', 'Farm manager', 'Therapist, speech and language', 'Social researcher', 'Archaeologist', 'Historic buildings inspector/conservation officer', 'Orthoptist', 'Higher education careers adviser', 'Training and development officer', 'Psychotherapist, child']","[['pass', 'able', 'matter', 'whether'], ['among', 'television', 'trade', 'check'], ['own', 'nearly', 'walk'], ['dog'], ['feel', 'professional', 'figure', 'might', 'bring'], ['list', 'onto'], ['fear', 'actually', 'daughter', 'star', 'name'], ['place', 'knowledge'], ['learn'], ['mission', 'soldier']]"
"Grant, Turner and Brown",14:37 - 07:21,"['Maintenance engineer', 'Energy engineer', 'Education officer, museum', 'Teacher, primary school', 'Social worker', 'Conservator, museum/gallery', 'Animator', 'Mudlogger', 'Conservator, furniture']","[['remain'], ['ahead', 'fall', 'whose', 'president', 'religious'], ['actually', 'others', 'country', 'scientist'], ['until', 'risk'], ['speech', 'develop', 'able', 'pick'], ['their', 'successful', 'there', 'news'], ['score', 'reach', 'never', 'politics'], ['manage', 'move', 'theory'], ['stage', 'loss', 'police', 'investment', 'lot']]"
"Wilson, Campbell and Vasquez",03:41 - 07:33,['Exercise physiologist'],"[['hotel', 'policy']]"
"Crawford, Drake and Reed",11:15 - 16:57,"['Geologist, wellsite', 'Pharmacist, hospital']","[['guess', 'executive', 'each'], ['other', 'say', 'building', 'a']]"
"Burgess, Vega and Chavez",10:23 - 14:42,"['Make', 'Chief Technology Officer', 'Lexicographer', 'Press photographer', 'Theatre manager']","[['get', 'image', 'face'], ['region'], ['almost'], ['attorney', 'person', 'life', 'red', 'kitchen'], ['father', 'chair', 'close']]"
Mills-Baker,06:26 - 14:32,"['Geophysical data processor', 'Energy engineer', 'Music tutor', 'Herbalist', 'Theatre manager', 'Engineer, automotive']","[['day'], ['may', 'want'], ['design', 'campaign', 'mention', 'way', 'piece'], ['such', 'exactly', 'relationship'], ['during', 'interesting'], ['stay', 'money']]"
Rosales LLC,19:59 - 14:59,"['Civil engineer, contracting', 'Minerals surveyor', 'Advertising copywriter', 'Corporate investment banker', 'Travel agency manager', 'Therapist, music', 'Contracting civil engineer', 'Tree surgeon']","[['us', 'create'], ['join', 'time', 'sister', 'wall', 'enter'], ['year', 'wish', 'letter', 'window', 'close'], ['most', 'model'], ['a', 'prepare'], ['PM', 'year', 'begin', 'key', 'time'], ['reveal', 'story', 'way', 'improve'], ['human']]"
"Benitez, Reyes and Martinez",16:13 - 08:14,"['Engineer, materials']","[['market', 'wide', 'message', 'happen', 'money']]"
"Jackson, Hoover and Ross",23:11 - 08:10,"['Psychiatrist', 'Armed forces technical officer', 'Translator', 'Radiation protection practitioner', 'Teacher, secondary school', 'Theatre manager']","[['avoid', 'work', 'control'], ['lead', 'science', 'agent'], ['else', 'college', 'staff', 'answer', 'mention'], ['simple', 'maintain', 'order', 'fine'], ['low', 'speak', 'minute', 'middle'], ['understand', 'cell']]"
Brooks-Jennings,04:45 - 01:16,"['Research officer, political party', 'Psychologist, sport and exercise', 'Farm manager', 'Engineer, biomedical', 'Visual merchandiser', 'Glass blower/designer', 'Community arts worker', 'Operations geologist']","[['middle'], ['guy', 'offer', 'right', 'candidate', 'suddenly'], ['keep', 'hour'], ['heavy', 'issue'], ['upon'], ['heart', 'part', 'wide', 'chair'], ['upon', 'stop', 'again', 'safe'], ['near']]"
Henderson-Davis,13:53 - 01:07,"['Landscape architect', 'Theatre manager', 'Furniture designer']","[['short', 'interest', 'manage', 'civil'], ['operation', 'entire', 'yeah'], ['six', 'include', 'as', 'east']]"
"Trevino, Oconnor and French",19:42 - 00:39,"['Theme park manager', 'Community development worker', 'Commercial horticulturist', 'Art gallery manager', 'Herpetologist', 'Nurse, adult', 'Social researcher', 'Scientist, audiological', 'Civil Service fast streamer']","[['third', 'better', 'forget'], ['compare', 'talk', 'tree', 'if', 'response'], ['Democrat'], ['mean'], ['doctor', 'west', 'our', 'open', 'five'], ['heavy', 'actually', 'religious'], ['hair', 'generation', 'focus', 'student'], ['husband', 'prove'], ['their']]"
"Montes, Waller and Calderon",12:41 - 21:09,"['Patent attorney', 'Forensic psychologist', 'Orthoptist']","[['resource', 'economy', 'challenge', 'property', 'development'], ['financial', 'research', 'yard'], ['audience', 'within', 'skin']]"
Smith-Rodriguez,19:33 - 11:13,"['Tour manager', 'Government social research officer', 'Licensed conveyancer', 'Scientific laboratory technician', 'Textile designer', 'Designer, fashion/clothing']","[['protect'], ['city', 'significant', 'simply', 'view', 'nice'], ['development', 'fire', 'rise', 'account'], ['statement', 'everything', 'especially', 'never'], ['without', 'against', 'rest'], ['card']]"
Williamson and Sons,11:18 - 19:23,"['Gaffer', 'Warden/ranger', 'Arboriculturist', 'Market researcher', 'Public librarian', 'Designer, fashion/clothing', 'Geologist, engineering', 'Leisure centre manager']","[['happen', 'run'], ['forward'], ['somebody', 'short', 'price', 'must'], ['American', 'student', 'too', 'eat', 'sing'], ['science', 'ability', 'firm', 'five', 'sign'], ['against', 'Mrs', 'anyone', 'relate'], ['popular', 'international', 'generation', 'four'], ['long', 'land', 'particular']]"
Clark Inc,07:52 - 20:17,"['Research scientist (medical)', 'Psychologist, clinical', 'Warehouse manager', 'Clinical research associate', 'Phytotherapist', 'Restaurant manager, fast food', 'Phytotherapist']","[['approach'], ['part', 'yet'], ['test', 'lot', 'manager', 'purpose'], ['edge', 'son'], ['certain', 'teacher', 'land', 'develop', 'firm'], ['six', 'star', 'argue', 'name'], ['standard', 'sing', 'free', 'throw']]"
Miller and Sons,07:28 - 00:37,"['Physiological scientist', 'Psychotherapist, dance movement', 'Retail banker', 'IT consultant', 'Art therapist', 'Hospital pharmacist', 'Aeronautical engineer', 'Adult guidance worker', 'Surveyor, minerals']","[['particularly', 'edge', 'himself', 'with'], ['close', 'rather', 'color'], ['wall'], ['director', 'various', 'better', 'offer'], ['it', 'others'], ['agency'], ['along', 'hope', 'catch'], ['ready', 'garden', 'gun', 'wall'], ['build', 'exactly', 'drop']]"
